aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Fan,"Aug 16, 0099",BOEING,767-332,Valid,N1605,Corporation,"1,999"
aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 26, 0001",BOEING,767-332,Valid,N1609,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"May 16, 0001",BOEING,767-332,Valid,N1611B,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 10, 0003",EMBRAER,EMB-145XR,Valid,N16149,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"May 18, 0005",EMBRAER,EMB-145XR,Valid,N16183,Corporation,"2,005"
Fixed Wing Multi-Engine,Turbo-Jet,"Feb 15, 0001",AIRBUS INDUSTRIE,A321-211,Valid,N162UW,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Jet,"Mar 1, 0001",AIRBUS INDUSTRIE,A321-211,Valid,N163US,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Jet,"Nov 1, 0001",EMBRAER,EMB-135ER,Valid,N16510,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"May 30, 0002",EMBRAER,EMB-145LR,Valid,N16541,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 2, 0002",EMBRAER,EMB-145LR,Valid,N16571,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 12, 0095",BOEING,737-524,Valid,N16632,Corporation,"1,995"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 5, 0097",BOEING,737-524,Valid,N16648,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 6, 0006",BOEING,737-33A,Valid,N166AW,Corporation,"1,986"
Fixed Wing Multi-Engine,Turbo-Jet,"Sep 25, 0098",BOEING,737-724,Valid,N16713,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Sep 29, 0004",BOEING,737-76N,Valid,N168AT,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 22, 0001",EMBRAER,EMB-145LR,Valid,N16919,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Jan 4, 0099",EMBRAER,EMB-145LR,Valid,N16954,Corporation,"1,998"
